date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:06:56	23451/23451	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202011%2014:06:58%20GMT	http://jquery.jarodxxx.com/robots.txt		(from )
15:06:58	33749/33749	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202011%2014:06:59%20GMT	http://jquery.jarodxxx.com/manuel/	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/manuel/index.html	(from )
15:06:59	34479/34479	---M--	200	added ('OK')	text/css	etag:%225c7ac6-86af-463207fe9fe0e%22	http://jquery.jarodxxx.com/style.css	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/style.css	(from )
15:07:00	55272/55272	---M--	200	added ('OK')	application/x-javascript	etag:%227004c4af-d7e8-461b3b0a09d5c%22	http://jquery.jarodxxx.com/js/jquery-1.3.1.min.js	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/js/jquery-1.3.1.min.js	(from )
15:07:01	2482/2482	---M--	200	added ('OK')	application/x-javascript	etag:%227003eb4c-9b2-4628e3595524b%22	http://jquery.jarodxxx.com/js/load.js	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/js/load.js	(from )
15:07:01	4776/4776	---M--	200	added ('OK')	image/png	etag:%22114c0084-12a8-4628e22219d9b%22	http://jquery.jarodxxx.com/images/bookmarklet.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/bookmarklet.png	(from )
15:07:01	4282/4282	---M--	200	added ('OK')	image/png	etag:%221162441e-10ba-46218eca81426%22	http://jquery.jarodxxx.com/images/etendre.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/etendre.png	(from )
15:07:02	11246/11246	---M--	200	added ('OK')	image/png	etag:%22108e9d53-2bee-46e957d6e75da%22	http://jquery.jarodxxx.com/images/addEngine.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/addEngine.png	(from )
15:07:03	513/513	---M--	200	added ('OK')	image/jpeg	etag:%22114c598e-201-4618e6ddfd370%22	http://jquery.jarodxxx.com/images/bg.jpg	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/bg.jpg	(from http://jquery.jarodxxx.com/manuel/)
15:07:03	13016/13016	---MC-	200	added ('OK')	text/javascript	date:Tue,%2008%20Feb%202011%2016:56:00%20GMT	http://pagead2.googlesyndication.com/pagead/show_ads.js	C:/Mes%20Sites%20Web/JqueryDoc/pagead2.googlesyndication.com/pagead/show_ads.js	(from )
15:07:03	981/981	---M--	200	added ('OK')	image/png	etag:%2211546073-3d5-4618e6e8b55b0%22	http://jquery.jarodxxx.com/images/top_menu_01.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/top_menu_01.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:04	18067/18067	---M--	200	added ('OK')	image/png	etag:%22114c596a-4693-4620a498df256%22	http://jquery.jarodxxx.com/images/125x125jquery.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/125x125jquery.png	(from )
15:07:04	969/969	---M--	200	added ('OK')	image/png	etag:%221154606d-3c9-4618e6e7fe400%22	http://jquery.jarodxxx.com/images/top_menu1_01.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/top_menu1_01.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:04	392/392	---M--	200	added ('OK')	image/png	etag:%2211546076-188-4618e6e8ba3d0%22	http://jquery.jarodxxx.com/images/top_menu_02.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/top_menu_02.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:05	391/391	---M--	200	added ('OK')	image/png	etag:%221154606e-187-4618e6e853b30%22	http://jquery.jarodxxx.com/images/top_menu1_02.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/top_menu1_02.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:05	851/851	---M--	200	added ('OK')	image/png	etag:%2211546078-353-4618e6e8fe990%22	http://jquery.jarodxxx.com/images/top_menu_03.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/top_menu_03.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:05	842/842	---M--	200	added ('OK')	image/png	etag:%2211546072-34a-4618e6e856240%22	http://jquery.jarodxxx.com/images/top_menu1_03.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/top_menu1_03.png	(from http://jquery.jarodxxx.com/manuel/)
